Ranking,Usina,Grupo,Tamanho(ha),Status da Usina,Etapa,Status CRM,Valor,Vendedor,Produto,Estado
,Usina 393,Grupo BK,150.000,Ativa,,,,,,São Paulo
,Usina 68,Grupo BX,109.114,Ativa,,,,,,São Paulo
,Usina 304,Grupo AN,100.000,Ativa,,,,,,São Paulo
,Usina 129,Grupo CD,97.329,Ativa,,,,,,São Paulo
,Usina 176,Grupo BF,92.857,Recuperação,,,,,,São Paulo
,Usina 264,Grupo BX,92.857,Ativa,,,,,,São Paulo
,Usina 276,Grupo AC,92.857,Ativa,,,,,,São Paulo
,Usina 226,Grupo BX,87.143,Ativa,,,,,,São Paulo
,Usina 303,Grupo S,86.143,Ativa,,,,,,São Paulo
,Usina 50,Grupo I,85.714,Ativa,,,,,,Mato Grosso do Sul
,Usina 69,Grupo BX,80.400,Ativa,,,,,,São Paulo
,Usina 280,Grupo C,80.000,Ativa,,,,,,Mato Grosso do Sul
,Usina 374,Grupo BK,80.000,Ativa,,,,,,São Paulo
,Usina 218,Grupo AG,78.571,Recuperação,,,,,,São Paulo
,Usina 305,Grupo I,78.571,Recuperação,,,,,,São Paulo
,Usina 126,Grupo BX,71.786,Ativa,,,,,,São Paulo
,Usina 186,Grupo N,71.429,Ativa,,,,,,São Paulo
,Usina 220,Grupo BX,71.429,Ativa,,,,,,Mato Grosso do Sul
,Usina 259,Grupo N,71.429,Ativa,,,,,,Goiás
,Usina 288,Grupo BK,71.429,Ativa,,,,,,Goiás
,Usina 23,Grupo AM,71.429,Ativa,,,,,,São Paulo
,Usina 115,Grupo AM,65.714,Ativa,,,,,,São Paulo
,Usina 51,Grupo AP,65.429,Ativa,,,,,,Paraná
,Usina 63,Grupo BX,64.607,Ativa,,,,,,São Paulo
,Usina 18,Grupo Q,64.286,Ativa,,,,,,Goiás
,Usina 221,Grupo I,64.286,Ativa,,,,,,Goiás
,Usina 22,Grupo AK,64.286,Ativa,,,,,,Minas Gerais
,Usina 238,Grupo BR,64.286,Ativa,,,,,,São Paulo
,Usina 311,Grupo V,64.286,Ativa,,,,,,São Paulo
,Usina 367,Grupo BF,64.286,Recuperação,,,,,,São Paulo
,Usina 385,Grupo BZ,64.286,Fechado,,,,,,Mato Grosso do Sul
,Usina 386,Grupo CC,64.286,Ativa,,,,,,Goiás
,Usina 59,Grupo BB,64.286,Ativa,,,,,,São Paulo
,Usina 96,Grupo BR,64.286,Ativa,,,,,,São Paulo
,Usina 269,Grupo W,63.771,Ativa,,,,,,Minas Gerais
,Usina 124,Grupo BA,63.500,Recuperação,,,,,,São Paulo
,Usina 123,Grupo BX,37.300,Ativa,,,,,,São Paulo
,Usina 4,Grupo F,60.000,Ativa,,,,,,São Paulo
,Usina 46,Grupo CN,60.000,Ativa,,,,,,São Paulo
,Usina 93,Grupo BQ,60.000,Ativa,,,,,,São Paulo
,Usina 65,Grupo BD,59.000,Ativa,,,,,,São Paulo
,Usina 134,Grupo BX,31.300,Ativa,,,,,,São Paulo
,Usina 118,Grupo BX,57.143,Ativa,,,,,,Goiás
,Usina 183,Grupo AM,57.143,Ativa,,,,,,São Paulo
,Usina 229,Grupo N,57.143,Ativa,,,,,,Minas Gerais
,Usina 417,Grupo BO,57.143,Ativa,,,,,,São Paulo
,Usina 127,Grupo I,54.286,Recuperação,,,,,,Mato Grosso do Sul
,Usina 192,Grupo I,54.286,Recuperação,,,,,,Goiás
,Usina 84,Grupo I,54.286,Recuperação,,,,,,Goiás
